batch,category,intent,question,faq_coverage,faq_source,source_url,find_in_source_ctrlF,faq_note,answer_type,answer,follow_up_trigger,follow_up_answer,answer_confidence,origin,seed_id
Batch 1,Orientation Camp,camp_kit,Is it advisable to get rubber tennis after getting the normal or leather tennis?,Not covered,-,,,Not addressed.,Statement,"A spare pair is heavily advised, not required by any rule -- one pair can technically get you through camp, but between mud on rainy postings, laundry-day timing (wash your only pair and there is a real chance it will not dry before the next parade), and the inflated prices for emergency footwear inside Mammy Market, most guides treat a backup as worth the money rather than optional. If you are only bringing one extra, a synthetic/rubber pair is the more useful second choice specifically because it does not absorb water and dries fast, unlike canvas. Camp officials do not check how many pairs you own -- they only care that you are in the white-on-white dress code when required -- so this is purely a comfort/practicality call, not something you will be penalized for skipping.",,,"Rewritten this pass -- reasoned/commonly-reported, no official NYSC rule on footwear quantity.",original,
Batch 1,Orientation Camp,camp_kit,Is V-neck white T-shirt allowed in camp or just round neck?,Not covered,-,,,Not addressed.,Statement,"Both round-neck and V-neck white T-shirts appear across different packing guides with no source reporting a rejection specifically over neck style -- the consistent requirement everywhere is plain white with no prints/logos, not the collar shape, so a V-neck is very likely fine, though round-neck is the more common default among corps members if you'd rather not stand out. On quantity: NYSC issues its own T-shirts (commonly 2), but fit and quality are widely reported as inconsistent, so bringing 3 extra of your own is a frequently recommended baseline for the full three weeks -- this is a comfort/laundry-frequency choice, not a fixed camp requirement, and more or fewer works fine depending on how often you're comfortable doing laundry.",,,Reasoned/commonly-reported -- no official document addresses collar style or an exact required T-shirt count; based on consistent packing-guide consensus across 6+ sources.,original,
Batch 1,Orientation Camp,camp_kit,Is three white T-shirts enough for camp?,Not covered,-,,,Not addressed.,Statement,"Both round-neck and V-neck white T-shirts appear across different packing guides with no source reporting a rejection specifically over neck style -- the consistent requirement everywhere is plain white with no prints/logos, not the collar shape, so a V-neck is very likely fine, though round-neck is the more common default among corps members if you'd rather not stand out. On quantity: NYSC issues its own T-shirts (commonly 2), but fit and quality are widely reported as inconsistent, so bringing 3 extra of your own is a frequently recommended baseline for the full three weeks -- this is a comfort/laundry-frequency choice, not a fixed camp requirement, and more or fewer works fine depending on how often you're comfortable doing laundry.",,,Reasoned/commonly-reported -- no official document addresses collar style or an exact required T-shirt count; based on consistent packing-guide consensus across 6+ sources.,original,
Batch 1,Posting & PPA,posting_influence,Can I serve in my present state after being posted to another state without doing direct posting?,Not covered,-,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Concessional,Only official override is concessional posting: marital ground (posting to husband's state) or health ground -- not general state choice.,Conditional,"Two separate mechanisms exist, and it matters which one you're asking about: which STATE you're posted to, or a specific PPA/organisation.

Important either way: NYSC does not sell state postings, PPA placements, or redeployments through any unofficial channel. Anyone -- including someone claiming to be NYSC staff -- who offers to guarantee your preferred state or PPA for a fee outside the official portal (portal.nysc.org.ng) is a scammer. A genuine PPA request letter is free to submit and never guarantees the outcome; a promised guaranteed result for payment is the warning sign.","Are you asking about which STATE you're posted to, or a specific PPA/organisation?","state -> During registration, you select several preferred states (commonly 3-4) from a list, excluding your own state of origin and the state where you studied, since posting you away from home is the deliberate norm. NYSC factors this in but doesn't guarantee it -- it makes the final call alongside each state's capacity and needs. Beyond the general preference list, the only officially documented way to influence your specific state is concessional posting: marital ground (posting to your husband's state, married women only) or health ground (a documented serious condition) -- both requested during registration itself with supporting documents (marriage certificate, or a government-hospital medical report), not after you've already been posted. Two specific points that come up often: (1) the registration form asks for states you've previously visited -- this field is real, but sources disagree on what NYSC does with it; treat any claim that visiting a state helps or hurts your odds there as unconfirmed. (2) Your state of deployment can't be identified from your call-up NUMBER alone before posting -- the number is tied to your institution/registration batch, not a destination state; the state only becomes known once your call-up LETTER is generated after posting. || ppa -> The one semi-reliable lever is a PPA Request Letter -- before or during camp, get an organisation you want to work for to write a letter (on their letterhead, signed and stamped) to the NYSC State Coordinator formally requesting you or requesting a corps member generally. Submit this at camp registration or to your LGI after camp. Two conditions matter: the organisation must already be registered with NYSC as an approved PPA (an unregistered organisation's letter is simply ignored), and NYSC still makes the final call -- a request letter improves your odds, it doesn't guarantee placement. There's no public online list of registered PPAs to search yourself -- ask your LGI or State Coordinator directly to check a specific organisation. Without a letter, NYSC assigns PPA based mainly on your course of study and the receiving state's stated needs; one lower-quality source also mentioned class of degree as a factor, unconfirmed elsewhere, treat as unconfirmed. If you're asking about changing a PPA you've ALREADY been given rather than choosing one beforehand, that's a different situation -- see ppa_change_request instead.","Corrected -- the previous version stated there is no state-preference option during registration, which is factually wrong. Cross-validated via 5+ independent current (2026) sources confirming a state-preference selection step exists, though the exact count (3 vs. 4 states) varies by source and wasn't resolved to one number. Newly checked this pass: the 'states visited' field is real but its effect on posting is not corroborated beyond one low-quality older source, so left explicitly unconfirmed rather than stated as fact either way. The call-up-number-doesn't-reveal-state point is reasoned from the confirmed number/letter/state-code sequencing already established in callup_letter_access (copied in here, not cross-referenced, per the self-containment rule).",original,
Batch 1,Registration & Eligibility,revalidation,Will my data remain on the portal if I was mobilized but did not register?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,revalidate,Revalidation opens when the online registration portal reopens (mentioned specifically re: graduation-date correction cases).,Conditional,"Revalidation is for prospective corps members who were deployed (received a call-up number/letter) to a state but never physically reported to orientation camp -- it re-enters you into the mobilisation system for the next batch without a fresh registration. It's a different process from remobilization, which is for corps members who did attend camp (or even served part of their year) but stopped afterward without completing service. Revalidation typically happens automatically once the registration portal reopens for a new batch: your dashboard updates with a new call-up number, and you simply reprint your call-up letter -- no re-uploading documents or re-capturing fingerprints, unless there's a data issue with your original record. You cannot select your state during revalidation; NYSC deploys you through its standard system, and while most people report keeping their original state, a change is possible depending on slot availability at that point -- this isn't guaranteed either way. Revalidation itself is free.

For 'posted to the north, didn't go to camp last year -- is it revalidation or remobilization': the deciding factor is always whether you physically attended camp. Never attended = revalidation (this scenario). Attended camp or served for a period, then stopped = remobilization instead.

For 'will my data remain on the portal if mobilized but didn't register': if you were deployed (had a call-up number/letter) but never attended camp, that's the exact revalidation scenario -- your data stays and no fresh registration is needed once the next window opens.",Did you attend orientation camp at all after you were deployed?,"no_attended -> Revalidate once the portal reopens for the next batch; in most cases this is automatic, just reprint your call-up letter when it updates. || yes_attended -> That's remobilization, not revalidation -- a different portal path covered under remobilization_after_abandon.","Cross-validated -- the revalidation-vs-remobilization distinction (attended camp or not) and the automatic, no-fresh-registration mechanic are consistent across 8+ independent current (2025-2026) sources. Whether the state can change on revalidation is reported inconsistently across sources (most say 'usually stays the same,' a few note exceptions) -- stated here as possible-but-not-guaranteed rather than asserted either way, since no single source resolves it definitively.",original,
Batch 1,Registration & Eligibility,postpone_defer_service,How long can I wait before serving after graduation?,Not covered,-,,,No deferment procedure described.,Statement,"NYSC doesn't offer a formal 'postpone/defer to a later batch on request' option -- your batch is determined by your institution's Senate List upload timing, not something you personally delay once you're eligible and in the system.

The two situations that actually come up: (1) If you've never registered at all, revalidation does NOT apply to you -- your path is ordinary registration once your institution submits you on a Senate List, same as any other graduate. (2) If you already registered and were mobilized but couldn't attend camp, that's what revalidation is for -- see revalidation for the process.

There is no confirmed process for cancelling or stopping an already-ongoing service year outright -- no source describes this as an available option. Redeployment/relocation (a change of state, see relocation_general_process) and maternity leave (see pregnancy_accommodation) are different, narrower mechanisms and not general-purpose 'cancel my service' options -- NYSC does not defer an entire batch for a pregnancy or newborn either.",,,"Medium-high -- the revalidation-vs-fresh-registration distinction (revalidation only applies if you were already mobilized before) and the maternity leave terms (12 weeks, paid, forfeits terminal leave, no camp stay if already pregnant) are each confirmed by multiple independent current sources. Whether an ongoing service year can be formally cancelled/withdrawn mid-year could not be verified against any source and is explicitly flagged as unresolved rather than guessed at.",original,
Batch 1,Redeployment & Relocation,relocation_general_process,Is ulcer one of the health issues that can warrant redeployment?,Partial,PDF,,,Not addressed.,Conditional,"""Redeployment"" and ""relocation"" are the same NYSC process under two names -- moving to a different state. There are two application windows: in camp (week 2, results by end of camp) or after camp (opens once you're 3 months into your service year, via the dashboard's Relocation tab, regardless of ground). LGIs administer clearance and mediate issues but don't approve relocations themselves -- relocation is processed centrally via the portal/secretariats, not something an LGI pushes through for you. You must be physically registered in your original state of deployment first; you cannot relocate without ever having reported there.

Excluded destinations, stated upfront since you already know your own situation: you cannot be relocated to Lagos, Abuja, your state of origin, or your state of study, and medical graduates cannot apply for in-camp relocation.

Pregnancy on its own is not a relocation ground -- pregnant corps members are handled through the separate camp-exemption track (see pregnancy_accommodation); only a genuine additional medical complication becomes a health-ground case here.

On the marital documents specifically: a registry marriage certificate, proof of the husband's residence (a domicile letter or utility bill), and change-of-name evidence if applicable are the consistently-required set -- an ""introduction letter from the husband's workplace"" is not confirmed as a standard requirement anywhere found, so don't treat it as mandatory unless your specific state office asks for it.

Once approved and any relocation fee paid on the portal, you'll likely hit a message requiring clearance from your PREVIOUS (original) state coordinator before you can print your letter -- this can take days to a few weeks; visiting the secretariat in person is usually faster than waiting online.","Which ground applies -- health, marital, or security -- and are you still in camp, already at your PPA, or cancelling a relocation you already applied for?","ground:health -> Government hospital medical report + doctor's details required. Approval commonly runs ~14 days once the post-camp window is open, though more urgent/serious documented conditions have been reported processed faster (as little as ~2 days in some cases) versus up to 14 for standard ones. || ground:marital -> Registry marriage certificate, husband's ID, proof of his residence, name-change evidence if applicable; married female corps members only. Approval commonly runs ~14-21 days. || ground:security -> Written statement of the specific threat, ideally with supporting evidence, often prioritised. If applying from Borno, Yobe, or Adamawa specifically: fast-tracked, often approved before camp ends. From any other state: faces a much higher bar, strong documentation needed. || stage:in_camp -> Use the week-2 form distributed on-site at the Relocation/Redeployment Desk; results released on the last day of camp, sometimes visible on the dashboard before then. Faster route, but has the exclusion restrictions above, and the state you get isn't guaranteed to be your first choice -- you can be sent somewhere else nearby if your preferred state has no space. || stage:after_camp -> Wait for the 3-month mark, then apply via the dashboard's Relocation tab (fill details, upload supporting documents max 200kb each, submit) -- same documents and process as above. Once approved and cleared, print your relocation letter in colour and report to your new state's secretariat within 21 days of approval -- miss that window and the relocation can be automatically reversed. || stage:cancel -> If still in camp, ask your platoon officer or camp commandant to cancel it. After camp, write a formal cancellation letter to your state coordinator. Confirm the cancellation actually shows on your dashboard rather than assuming it went through -- an uncancelled relocation can still affect your posting. You can reapply after a rejection or cancellation -- no one-shot rule -- though each new attempt restarts the clearance/printing steps from scratch.","Cross-validated -- the allowance-delay-after-redeployment and no-guaranteed-state issues came directly from Nairaland-sourced accounts and a corps-member-focused guide, not the polished SEO guides, which mostly omit these downsides. Newly added and cross-validated this pass: Borno/Yobe/Adamawa as officially-recognised high-risk states with fast-tracked (not literally automatic) security-ground approval, confirmed across 4+ independent sources including one from 2026; and the Lagos/Abuja/state-of-origin exclusion as destinations, confirmed across multiple sources. The direct-posting-vs-redeployment 'success rate' comparison question in this intent's list has no source answering it either way and is left unaddressed rather than guessed at.",original,
Batch 1,Registration & Eligibility,registration_documents_general,Can you list the documents needed when registering on the NYSC portal?,Covered,MOBREG,https://www.nysc.gov.ng/mobreg.html,Requirements,"Functional email + Nigerian GSM number, correct matriculation number, name must appear on Senate list, compliant passport photo (white/off-white background, full face, centered).",Statement,"Standard online registration requires: your National Identification Number (NIN), a functional email and phone number, a digital passport photograph, your academic credentials (Statement of Result or Certificate), and institutional matriculation/JAMB details. An HND graduate registers the same way as a BSc/university graduate -- no separate document set for HND holders specifically. NOUN (National Open University of Nigeria) graduates are NYSC-eligible the same as graduates of any NUC-accredited Nigerian institution -- being a NOUN graduate on its own doesn't change your registration requirements or eligibility; the next step after registration is simply waiting for your call-up number/letter like any other registrant. Documents needed for camp screening overlap with, but are separate from, online-registration documents -- see the camp-gate checklist (Call-Up Letter, Green Card, Statement of Result/Certificate, ID card, passport photos, Medical Fitness Certificate) for the physical-arrival list. (Married-graduate exemption-letter documentation is covered under exemption_certificate.) 'How do I complete my NYSC service year' is a broader question -- see monthly_clearance and discharge_certificate for that process.",,,Cross-validated directly via mobreg.html and consistent across independent guides for the core document list. HND/NOUN-specific handling and the broader 'complete my service year' question are reasoned from the general eligibility/process rules already confirmed elsewhere in this project rather than separately sourced for these specific phrasings.,original,
Batch 1,Certificates & Documents,certificate_correction_pending,Can I use a photocopy on my NYSC certificate before corrections reflect on my statement of result?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,3 months,Related to the exemption certificate correction window (3-month rule) and name-correction workflow.,Statement,"Reading this as asking whether you can proceed to camp/registration on your current statement of result while a requested correction hasn't reflected yet (the question's original wording is unclear, so this is the most likely intended meaning): no, this is risky. NYSC's own official FAQ states that corrections are only entertained within three (3) months of your date of Online Registration -- if the still-uncorrected detail isn't resolved within that window, there is no guarantee it can be fixed at all afterward. Separately, NYSC's own camp requirements explicitly warn PCMs not to proceed to camp if the graduation date (or other key detail) on your call-up letter/portal doesn't match what's on your certificate or statement of result -- a mismatch at physical verification is what gets people turned away or flagged. Only original documents are accepted for your statement of result/certificate at camp, no photocopies, per this dataset's own confirmed docs_statement_of_result_at_camp finding. The safer path is to get the correction confirmed and reflected on your dashboard/Senate List entry -- well within the 3-month window -- before registering or traveling to camp with mismatched documents, rather than assuming it will be sorted out informally on arrival.",,,"Cross-validated -- both the 3-month correction window and the no-photocopy-originals-only rule are directly sourced to NYSC's own official documentation (onlinefaq.pdf) and this dataset's own prior findings. The ""don't proceed to camp with a mismatch"" caution is likewise directly sourced to NYSC's stated camp requirements. The underlying question's phrasing is itself ambiguous -- flagged as an interpretation, not a verbatim-matched question.",original,
Batch 1,Registration & Eligibility,name_correction,How long does it take for a misspelt name to be corrected?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Correction of Name,Login to dashboard > Apply for Name Correction > fill fields > Place Request. NYSC does not add/remove names; that requires institution to write NYSC directly.,Conditional,"Two different NYSC-side fixes exist depending on what's wrong. Spelling or word-order errors (e.g. a misspelled name, or names in the wrong order): log into your dashboard and click 'Apply for Correction of Name,' fill the fields, and submit -- no fee, no institution involvement. Adding or removing an entire name (e.g. a name on your certificate that's missing from your NYSC profile, or vice versa): NYSC won't process this directly from you -- your institution's Student Affairs Officer (SAO) must write to NYSC on your behalf, so go to your school first for this case, not the dashboard. Separately, and just as common in this list: mismatches *between* your different official records (JAMB, NIN, BVN, statement of result, certificate) rather than a mistake on the NYSC portal itself. The consistent pattern across these: NYSC's registration checks default to what's on your JAMB record as the reference point, so a NIN- or BVN-only mismatch generally doesn't block registration by itself, but a JAMB-vs-statement-of-result mismatch does need fixing before you can be reliably cleared. If JAMB itself has the wrong name, that's a JAMB Correction of Data request (not an NYSC one) -- it's a one-time, one-cycle window (currently ₦3,500 via JAMB's eFacility portal), not an indefinite option, and there's no blanket 'embargo' on it despite what some corps members report -- what's usually being described is that cycle's correction window having already closed. Once that window closes, the fallback is JAMB's Regularization service, which is slower and more expensive than Correction of Data, so don't wait until the window closes if you already know something's wrong. Affidavits: acceptable for some general name discrepancies between documents (e.g. certificate vs. passport), but NOT for date-of-birth corrections specifically -- NYSC does not accept court affidavits as a DOB fix, so don't assume the same rule applies to every kind of mismatch.","Is this a spelling/order fix on the NYSC portal itself, an add/remove of a whole name, or a mismatch between different official records (JAMB/NIN/BVN/certificate)?","spelling_order -> Handled entirely on your dashboard, no institution involvement, no fee. || add_remove -> Go to your school's SAO first; they write to NYSC on your behalf. || mismatch -> Identify which record is actually wrong first (usually JAMB is the reference point NYSC checks against): if JAMB is wrong, use JAMB's Correction of Data while the window is open, or Regularization if it's closed; if only NIN/BVN differs from JAMB and your statement of result agrees with JAMB, this usually isn't a blocker for NYSC purposes specifically, though it can still cause friction elsewhere (banking, BVN-linked allowance account) so fixing it eventually is worth doing even if it's not urgent for registration. Important either way: if there's a disparity between the name on your dashboard/call-up letter and your Statement of Result, you will not be registered at camp -- resolve this before travelling, not after arriving.","Cross-validated -- the spelling-vs-addition/removal distinction and SAO-involvement requirement are confirmed directly by an official nysc.gov.ng FAQ page and independently by multiple current guides (unchanged from prior audit). Newly added and cross-validated this pass: JAMB's Correction of Data is a one-time, one-cycle, fee-based (₦3,500) window rather than an indefinite option, with Regularization as the slower/costlier fallback once it closes -- confirmed across 5+ independent 2026 JAMB-focused sources, none of which describe any blanket embargo on name correction. The DOB-affidavit rejection is carried over from the confirmed dob_discrepancy_correction finding (self-contained, not cross-referenced) to flag that affidavits aren't a universal fix. The 'JAMB defaults as reference point, NIN/BVN-only mismatches generally don't block NYSC registration' framing is reasoned from the same logic already confirmed for DOB mismatches in dob_discrepancy_correction, extended here to name mismatches -- not independently re-sourced for name specifically, so treat that extension as reasoned rather than directly verified.",original,
